exit_label,trades,avg_pnl,median,total_pnl
time_stop,21,152.0035961904752,59.17899999999978,3192.0755199999794
tp_poc,88,115.24283940151672,53.34693500000583,10141.369867333471
sl_rej,303,-78.01836989328719,-65.47494199998503,-23639.56607766602
