candidate,va_containment,min_lvn_height_pct,min_edge_bps,pf,pf_second_half,avg_pnl,trades,stability_gap,sl_rej,sl_rej_fraction,trade_floor_penalty,score
0.60/10/35,0.6,10.0,35.0,4.355658567731332,4.6804524728823695,68.8814672727292,99,-0.8698490794543501,73.73737373737373,0.7373737373737373,-2.0,0.8207400221124366
0.65/10/35,0.65,10.0,35.0,4.219520652888113,4.417234782262462,63.91866809896021,64,-0.6030363275431454,75.0,0.75,-2.0,0.7153251925303157
0.60/15/35,0.6,15.0,35.0,4.15893913731785,4.703377064273877,70.78684547325247,81,-1.4586137162436659,75.30864197530865,0.7530864197530864,-2.0,0.7048726954915314
0.65/15/20,0.65,15.0,20.0,4.09076833006283,4.110152372213918,65.47358243169515,61,-0.06946970892365023,72.1311475409836,0.7213114754098361,-2.0,0.653925807378553
0.60/10/30,0.6,10.0,30.0,4.093111043438729,3.745550584436854,69.12686286604608,107,1.0953217080383117,71.96261682242991,0.719626168224299,-2.0,0.47435367657378036
