scenario,trades,avg_pnl,pf,pf_second_half
0 fee / 0 slippage,412,68.04431397249375,4.185212064798737,4.579418797370383
realistic fee / low slippage,412,29.269659798747803,1.7670498596878175,1.8355109716613707
realistic fee / medium slippage,412,13.759798129249424,1.296046154097964,1.3500360397478666
pessimistic fee / higher slippage,412,-25.014856044496526,0.6397603738868108,0.6891082970021287
