candidate,trades,avg_pnl,pf,pf_second_half
0.60/10/30,107,-28.965416292832412,0.5993301571631173,0.6098719740340155
0.60/10/35,99,-23.42989551514959,0.6579749891037584,0.7086455954530471
0.60/15/35,81,-20.813909304525303,0.6991500830545999,0.786139194828904
0.65/15/20,61,-25.056095355190095,0.6173598776247102,0.6243630164222205
0.65/10/35,64,-26.139265947914783,0.6277155865509016,0.6713816333178458
